,index,Year,Month,average_Price,maximum_nights,minimum_nights,year-Month
0,0,2023,03,190.2757745048248,1125.0,32.0,2023-03
1,1,2023,04,227.55118646992838,1125.0,32.0,2023-04
2,2,2023,05,249.85283040925907,1125.0,32.0,2023-05
3,3,2023,06,258.78695314522395,1125.0,32.0,2023-06
4,4,2023,07,260.88646630982106,1125.0,32.0,2023-07
5,5,2023,08,254.8300919392416,1125.0,32.0,2023-08
6,6,2023,09,261.2293554232462,1125.0,32.0,2023-09
7,7,2023,10,260.63826375957177,1125.0,32.0,2023-10
8,8,2023,11,228.95560445249805,1125.0,32.0,2023-11
9,9,2023,12,220.6054712616803,1125.0,32.0,2023-12
10,10,2024,01,235.55151019181147,1125.0,32.0,2024-01
11,11,2024,02,241.51014487578888,1125.0,32.0,2024-02
12,12,2024,03,252.5533414301351,1125.0,32.0,2024-03
